model,language,accuracy,f1,precision,recall,auc
xlmroberta-scamsense,overall,0.9916,0.9916,0.9916,0.9916,0.999
xlmroberta-scamsense,en,0.9892,0.9892,0.9892,0.9892,0.9986
xlmroberta-scamsense,ms,1.0,1.0,1.0,1.0,1.0
xlmroberta-scamsense,singlish,0.9991,0.9991,0.9991,0.9991,0.9991
xlmroberta-scamsense,ta,0.9993,0.9993,0.9993,0.9993,1.0
xlmroberta-scamsense,zh,0.9991,0.9991,0.9991,0.9991,1.0
mbert-scamsense-baseline,overall,0.9369,0.9369,0.9369,0.9369,0.9832
mbert-scamsense-baseline,en,0.919,0.919,0.919,0.919,0.9727
mbert-scamsense-baseline,ms,1.0,1.0,1.0,1.0,1.0
mbert-scamsense-baseline,singlish,0.9856,0.9856,0.9858,0.9856,0.9997
mbert-scamsense-baseline,ta,0.9993,0.9993,0.9993,0.9993,1.0
mbert-scamsense-baseline,zh,0.9913,0.9913,0.9914,0.9913,0.9997
