id,model,language,split,f1,precision_score,recall,auc,created_at
25,xlmroberta-scamsense,overall,,0.9916,0.9916,0.9916,0.999,2026-06-15T07:37:23.748423+00:00
26,xlmroberta-scamsense,en,,0.9892,0.9892,0.9892,0.9986,2026-06-15T07:37:23.748423+00:00
27,xlmroberta-scamsense,ms,,1.0,1.0,1.0,1.0,2026-06-15T07:37:23.748423+00:00
28,xlmroberta-scamsense,singlish,,0.9991,0.9991,0.9991,0.9991,2026-06-15T07:37:23.748423+00:00
29,xlmroberta-scamsense,ta,,0.9993,0.9993,0.9993,1.0,2026-06-15T07:37:23.748423+00:00
30,xlmroberta-scamsense,zh,,0.9991,0.9991,0.9991,1.0,2026-06-15T07:37:23.748423+00:00
31,mbert-scamsense-baseline,overall,,0.9369,0.9369,0.9369,0.9832,2026-06-15T07:37:23.748423+00:00
32,mbert-scamsense-baseline,en,,0.919,0.919,0.919,0.9727,2026-06-15T07:37:23.748423+00:00
33,mbert-scamsense-baseline,ms,,1.0,1.0,1.0,1.0,2026-06-15T07:37:23.748423+00:00
34,mbert-scamsense-baseline,singlish,,0.9856,0.9858,0.9856,0.9997,2026-06-15T07:37:23.748423+00:00
35,mbert-scamsense-baseline,ta,,0.9993,0.9993,0.9993,1.0,2026-06-15T07:37:23.748423+00:00
36,mbert-scamsense-baseline,zh,,0.9913,0.9914,0.9913,0.9997,2026-06-15T07:37:23.748423+00:00
